patRIL	chamber	Pre	Learning	Memory	file
11004	12	1.000	0.9333	1.000	3.hbx
11004	14	1.000	0.9750	1.000	3.hbx
11004	15	-1.000	0.9139	1.000	3.hbx
11004	9	1.000	0.9056	0.7889	4.hbx
11004	10	-0.7133	0.7561	1.000	4.hbx
11004	11	1.000	0.9922	0.6956	4.hbx
11004	12	1.000	0.8650	1.000	4.hbx
11004	13	-1.000	0.9394	1.000	4.hbx
11004	15	-0.7467	0.9050	-0.6022	4.hbx
11004	0	1.000	0.8617	1.000	5.hbx
11004	4	1.000	0.9883	-0.5822	5.hbx
11004	5	1.000	0.9672	1.000	5.hbx
11004	6	1.000	0.8944	0.9800	5.hbx
11004	8	1.000	0.9611	1.000	5.hbx
11004	11	1.000	0.9450	0.2289	5.hbx
11004	12	1.000	0.9572	1.000	5.hbx
11004	13	1.000	0.9961	0.7778	5.hbx
11004	15	-0.9200	0.8078	1.000	5.hbx
11004	0	1.000	0.9856	1.000	6.hbx
11004	4	-1.000	0.8800	1.000	6.hbx
11004	5	-0.8733	0.9550	1.000	6.hbx
11004	8	1.000	0.8294	0.8300	6.hbx
11004	9	-0.6933	0.7761	0.7222	6.hbx
11004	10	-0.6667	0.9600	1.000	6.hbx
11004	11	1.000	0.9733	1.000	6.hbx
11004	12	-1.000	0.3150	-0.07444	6.hbx
11004	13	0.2800	0.8150	1.000	6.hbx
11004	15	-1.000	0.9294	1.000	6.hbx
11004	2	0.03333	0.9428	1.000	7.hbx
11004	4	0.8667	0.8200	0.1144	7.hbx
11004	5	1.000	0.9250	1.000	7.hbx
11004	6	1.000	0.9944	1.000	7.hbx
11004	8	0.3200	0.9056	1.000	7.hbx
11004	9	1.000	0.9889	1.000	7.hbx
11004	12	0.9133	0.9394	1.000	7.hbx
11004	13	1.000	0.9383	-0.3011	7.hbx
11004	14	1.000	0.7333	0.5767	7.hbx
11004	0	1.000	0.8706	-0.1456	8.hbx
11004	2	1.000	0.9683	0.8933	8.hbx
11004	4	-0.7467	-0.8461	0.1333	8.hbx
11004	6	-1.000	0.8089	1.000	8.hbx
11004	9	0.07333	0.9011	0.5800	8.hbx
11004	10	0.6933	0.9683	1.000	8.hbx
11004	13	1.000	0.9744	1.000	8.hbx
11004	15	0.9333	0.9494	1.000	8.hbx
11004	8	1.000	0.9450	1.000	9.hbx
11004	9	1.000	0.8267	-0.6833	9.hbx
11004	10	1.000	0.6922	1.000	9.hbx
11004	12	1.000	-0.4494	-1.000	9.hbx
11004	13	1.000	0.9667	1.000	9.hbx
11004	0	1.000	0.9550	1.000	11.hbx
11004	1	1.000	0.9878	0.4622	11.hbx
11004	6	-0.4333	0.9606	1.000	11.hbx
11004	7	1.000	0.9911	1.000	11.hbx
11004	8	0.4933	0.9222	1.000	11.hbx
11004	9	0.2933	0.9500	0.5922	11.hbx
11004	11	0.5800	0.9378	1.000	11.hbx
11004	12	0.9533	0.9778	-0.2089	11.hbx
11004	14	1.000	0.9917	0.1933	11.hbx
11004	15	0.8600	0.9528	0.2922	11.hbx
11004	0	1.000	0.9783	1.000	12.hbx
11004	7	-1.000	0.9750	1.000	12.hbx
